ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesOrderNumber,OrderQuantity,SalesAmount
381,20200101,20200113,20200108,16942,SO46700,1,1000.4375
375,20200101,20200113,20200108,15114,SO46701,1,2181.5625
369,20200101,20200113,20200108,15116,SO46702,1,2443.35
337,20200101,20200113,20200108,20576,SO46703,1,782.99
370,20200101,20200113,20200108,13059,SO46704,1,2443.35
370,20200101,20200113,20200108,13085,SO46705,1,2443.35
352,20200101,20200113,20200108,20186,SO46706,1,2071.4196
337,20200101,20200113,20200108,15199,SO46707,1,782.99
377,20200101,20200113,20200108,21200,SO46708,1,2181.5625
387,20200102,20200114,20200109,19172,SO46709,1,1000.4375
356,20200102,20200114,20200109,11484,SO46710,1,2071.4196
369,20200102,20200114,20200109,13592,SO46711,1,2443.35
373,20200102,20200114,20200109,13779,SO46712,1,2181.5625
371,20200102,20200114,20200109,24778,SO46713,1,2181.5625
368,20200102,20200114,20200109,13093,SO46714,1,2443.35
375,20200102,20200114,20200109,24976,SO46715,1,2181.5625
375,20200102,20200114,20200109,25046,SO46716,1,2181.5625
368,20200102,20200114,20200109,25048,SO46717,1,2443.35
360,20200102,20200114,20200109,12570,SO46718,1,2049.0982
362,20200103,20200115,20200110,11604,SO46719,1,2049.0982
371,20200103,20200115,20200110,13667,SO46720,1,2181.5625
370,20200103,20200115,20200110,16046,SO46721,1,2443.35
385,20200103,20200115,20200110,17095,SO46722,1,1000.4375
368,20200103,20200115,20200110,12918,SO46723,1,2443.35
368,20200103,20200115,20200110,28663,SO46724,1,2443.35
369,20200103,20200115,20200110,21191,SO46725,1,2443.35
373,20200103,20200115,20200110,20999,SO46726,1,2181.5625
370,20200103,20200115,20200110,21002,SO46727,1,2443.35
358,20200103,20200115,20200110,12354,SO46728,1,2049.0982
321,20200103,20200115,20200110,26019,SO46729,1,782.99
379,20200104,20200116,20200111,15100,SO46730,1,2181.5625
371,20200104,20200116,20200111,15101,SO46731,1,2181.5625
385,20200104,20200116,20200111,13992,SO46732,1,1000.4375
375,20200104,20200116,20200111,24781,SO46733,1,2181.5625
375,20200104,20200116,20200111,13060,SO46734,1,2181.5625
371,20200104,20200116,20200111,13226,SO46735,1,2181.5625
360,20200104,20200116,20200111,12341,SO46736,1,2049.0982
354,20200104,20200116,20200111,12346,SO46737,1,2071.4196
362,20200104,20200116,20200111,12576,SO46738,1,2049.0982
373,20200105,20200117,20200112,15699,SO46739,1,2181.5625
379,20200105,20200117,20200112,12980,SO46740,1,2181.5625
370,20200105,20200117,20200112,28766,SO46741,1,2443.35
358,20200105,20200117,20200112,20206,SO46742,1,2049.0982
373,20200105,20200117,20200112,21183,SO46743,1,2181.5625
370,20200105,20200117,20200112,21199,SO46744,1,2443.35
369,20200106,20200118,20200113,13056,SO46745,1,2443.35
368,20200106,20200118,20200113,13057,SO46746,1,2443.35
360,20200106,20200118,20200113,26127,SO46747,1,2049.0982
360,20200106,20200118,20200113,26252,SO46748,1,2049.0982
354,20200106,20200118,20200113,12350,SO46749,1,2071.4196
377,20200107,20200119,20200114,16054,SO46750,1,2181.5625
377,20200107,20200119,20200114,12934,SO46751,1,2181.5625
343,20200107,20200119,20200114,19931,SO46752,1,782.99
379,20200107,20200119,20200114,21215,SO46753,1,2181.5625
321,20200107,20200119,20200114,25958,SO46754,1,782.99
343,20200107,20200119,20200114,26023,SO46755,1,782.99
383,20200107,20200119,20200114,13993,SO46756,1,1000.4375
354,20200108,20200120,20200115,26174,SO46757,1,2071.4196
387,20200108,20200120,20200115,18130,SO46758,1,1000.4375
373,20200108,20200120,20200115,16033,SO46759,1,2181.5625
387,20200108,20200120,20200115,13986,SO46760,1,1000.4375
325,20200108,20200120,20200115,19924,SO46761,1,782.99
368,20200108,20200120,20200115,13063,SO46762,1,2443.35
375,20200108,20200120,20200115,13202,SO46763,1,2181.5625
360,20200108,20200120,20200115,26238,SO46764,1,2049.0982
333,20200108,20200120,20200115,15191,SO46765,1,782.99
369,20200108,20200120,20200115,21216,SO46766,1,2443.35
362,20200108,20200120,20200115,12573,SO46767,1,2049.0982
339,20200108,20200120,20200115,26020,SO46768,1,782.99
377,20200109,20200121,20200116,15702,SO46769,1,2181.5625
370,20200109,20200121,20200116,15357,SO46770,1,2443.35
377,20200109,20200121,20200116,13068,SO46771,1,2181.5625
375,20200109,20200121,20200116,13161,SO46772,1,2181.5625
371,20200109,20200121,20200116,13173,SO46773,1,2181.5625
375,20200109,20200121,20200116,13225,SO46774,1,2181.5625
352,20200109,20200121,20200116,26249,SO46775,1,2071.4196
360,20200109,20200121,20200116,12356,SO46776,1,2049.0982
356,20200110,20200122,20200117,11568,SO46777,1,2071.4196
352,20200110,20200122,20200117,11610,SO46778,1,2071.4196
377,20200110,20200122,20200117,15929,SO46779,1,2181.5625
379,20200110,20200122,20200117,12942,SO46780,1,2181.5625
379,20200110,20200122,20200117,12949,SO46781,1,2181.5625
371,20200110,20200122,20200117,12975,SO46782,1,2181.5625
337,20200110,20200122,20200117,19069,SO46783,1,782.99
375,20200110,20200122,20200117,13178,SO46784,1,2181.5625
373,20200110,20200122,20200117,13190,SO46785,1,2181.5625
354,20200110,20200122,20200117,26201,SO46786,1,2071.4196
333,20200110,20200122,20200117,15195,SO46787,1,782.99
358,20200110,20200122,20200117,12342,SO46788,1,2049.0982
358,20200111,20200123,20200118,28506,SO46789,1,2049.0982
379,20200111,20200123,20200118,12930,SO46790,1,2181.5625
369,20200111,20200123,20200118,13016,SO46791,1,2443.35
373,20200111,20200123,20200118,13083,SO46792,1,2181.5625
375,20200111,20200123,20200118,13214,SO46793,1,2181.5625
373,20200111,20200123,20200118,24977,SO46794,1,2181.5625
362,20200111,20200123,20200118,26234,SO46795,1,2049.0982
360,20200111,20200123,20200118,26247,SO46796,1,2049.0982
371,20200111,20200123,20200118,21197,SO46797,1,2181.5625
368,20200111,20200123,20200118,21201,SO46798,1,2443.35
371,20200112,20200124,20200119,13662,SO46799,1,2181.5625
370,20200112,20200124,20200119,13019,SO46800,1,2443.35
368,20200112,20200124,20200119,25094,SO46801,1,2443.35
337,20200112,20200124,20200119,15188,SO46802,1,782.99
379,20200113,20200125,20200120,13595,SO46803,1,2181.5625
323,20200113,20200125,20200120,19052,SO46804,1,782.99
373,20200113,20200125,20200120,13055,SO46805,1,2181.5625
370,20200113,20200125,20200120,21195,SO46806,1,2443.35
354,20200113,20200125,20200120,12339,SO46807,1,2071.4196
360,20200113,20200125,20200120,12347,SO46808,1,2049.0982
371,20200114,20200126,20200121,13766,SO46809,1,2181.5625
370,20200114,20200126,20200121,15622,SO46810,1,2443.35
369,20200114,20200126,20200121,12941,SO46811,1,2443.35
371,20200114,20200126,20200121,13069,SO46812,1,2181.5625
379,20200114,20200126,20200121,13152,SO46813,1,2181.5625
371,20200114,20200126,20200121,13165,SO46814,1,2181.5625
375,20200114,20200126,20200121,25093,SO46815,1,2181.5625
370,20200114,20200126,20200121,13230,SO46816,1,2443.35
356,20200114,20200126,20200121,26121,SO46817,1,2071.4196
